songname,fightsong,,
チャンステーマ０,"ララララさぁ燃え上がれ（燃え上がれ）
我らの 期待のせて
オーオオオー オーオーオー今
鋭く放て この一打",,
チャンステーマ１,"・・オイ ・・オイ ・・GET THE CHANCE
・・オイ ・・オイ ・・GET THE CHANCE
♪♪レッツゴーベイスターズ 
→ オイ×２→ そーれいけいけ ! ○○×３
レッツゴーベイスターズ",,
チャンステーマ２,"♪♪♪♪♪レッツゴー！×４
打て！打て！○○
打て！打て！○○
○○！○○！
かっとばせ～○○！",,
チャンステーマ３,♪♪わっしょい! わっしょい!,,
チャンステーマ４,"（旧ローズの応援歌）
勝つぞ！横浜！倒せ！（相手チーム名）！",,
Fight Oh! YOKOHAMA,"【前奏：オイ! オイ! オイ! オイ! オイ! 】
Go for it! Go for it! Go for it!
Baystars!
♪♪Fight oh! YOKOHAMA
Fight oh! YOKOHAMA
オイ! オイ! オイ! オイ!",,
攻めまくれ,"ララララー ラーラーラーラー ラーラー ララララー
我らの星 ヨコハマ 闘え 誇りを胸に
 我らの星 ヨコハマ 今こそ 攻めまくれ
・・・・・・(相手チーム名)倒せ
・・・・・・絶対勝つぞベイスターズ",,
ハンターチャンス,"♪わっしょい! ♪わっしょい! オイ! オイ! ○○!
♪○○! ○○! ♪打て! 打て! ○○!
♪わっしょい! ♪わっしょい! オイ! オイ! ○○!
♪○○! ○○! ♪打て! 打て! ○○!
・・突撃! ・・突撃! (相手チーム)倒せ ○○!
・・○○! ・・○○! お前のバットで決めてやれ!",,
ライジングテーマ,"・・・熱く　・・・熱く　・・・熱く立ち上がれ
Let's Go BAY 不器用で カッコ悪くても
選手を信じ 声を枯らし
Let's Go BAY 変えてゆく 俺たちが変える
想いよ届け 君のもとへ",,
押せ！押せ！ヨコハマ,"♪～押せ押せヨコハマ　♪～押せ押せヨコハマ 
×××オイ！　×××オイ！　×××オイ！　××××　
押せ押せ　ヨコハマ
（終わる時のみ）Go! BayStars!",,
All in one,"心をひとつに　共に歩もう
すべての力合わせて　共に闘おう
どんな時も夢めざし　共に輝こう
心をひとつに　心をひとつに
We☆Yokohama
We☆Yokohama
We☆Yokohama　No.1",,
ホームランのファンファーレ／横浜市歌,"されば港の数　多かれど
この横浜に　優(まさ)るあらめや",,
勝利のファンファーレ／横浜市歌,"されば港の数　多かれど
この横浜に　優(まさ)るあらめや
この横浜に　優(まさ)るあらめや",,
勝利の輝き,横浜ベイスターズ　勝利の輝き　目指して,,試合開始時など
勝利の輝きロングバージョン,"横浜ベイスターズ　立ち上がる時
横浜ベイスターズ　勝利の輝き　目指して",,相手投手交代時などに使用
勇者の遺伝子,"Wow wow wow ベイスターズ
勇者の遺伝子（ディーエヌエー）
星空に響け激しく　魂がうねる音　闘えWarriors
俺達は生きる　勝利の女神　抱くため
情熱の火よ　我が道を照らせ
Wow wow wow ベイスターズ
勇者の遺伝子（ディーエヌエー）",,相手投手交代時などに使用
WINNING,"勇気という名の　白いボールを胸に
夢を追いかける　どんな時も
横浜ベイスターズ　全てを賭けて　走り出せ
横浜ベイスターズ　時代の風を背に受けて
信じているよ　熱い気持ちで　掴むのさ　Your Winning Ball",,試合前1-9、相手投手交代時、勝利時
熱き星たちよ,"Oh Oh wow wow 横浜ベイスターズ
燃える星たちよ
Let's GO!
Oh Oh wow wow 横浜ベイスターズ
夢を追いかけろ",,得点時と勝利時
ラミレス監督のテーマ,"♪♪♪（オイ！）♪♪♪（オイ！）♪♪♪♪♪♪（アーレックス　ラミレス！）
♪♪♪（オイ！）♪♪♪（オイ！）♪♪♪♪♪♪",,
横浜大漁節,"・・・そーれ　・・・そーれ
・・・そーれ　・・・そーれ
かっとばせー ○○！",,