backnumber,fullname,nickname,fightsong,tag
1,桑原 将志,桑原,"今だクワ喰らいつけ 燃えろガッツマン
突っ走れどこまでも 勝利を呼ぶ男
（かっとばせー　桑原！）",
2,ロペス,ロペス,"勝負がかかる しびれる瞬間
流れを我らに アニモ ロペス
（チャモ！チャモ！ロペス）",
3,梶谷 隆幸,タカユキ,"新たな歴史に その名を刻め
梶谷隆幸 蒼い韋駄天
（かっとばせー　タカユキ！）",
4,荒波 翔,荒波,"煌めくフィールド 荒波show!
見せてくれ 歓声浴びて翔け さぁ疾風の如く
（かっとばせー　荒波！）",
5,倉本 寿彦,倉本,"かっとばせ 見せろ男意気
さあ打つぞ 勝利へ導け
（かっとばせー　倉本！）",
6,白崎 浩之,白崎,"輝く歴史を その手で刻むため
君はここに現れた 時代のヒーロー
（かっとばせー　白崎！）",
7,石川 雄洋,タケヒロ,"栄冠掴むその日まで 恐れず飛び込めベースへ
君の熱き血潮で 燃えろ! 雄洋!
（かっとばせー　タケヒロ！）",
8,神里 和毅,神里,左打者汎用,
9,大和,大和,"敵はすぐ目の前だ 大いなる闘志燃やせ
響け和の魂 輝ける未来へ
（かっとばせー　大和！）",
10,戸柱 恭孝,戸柱,"奮い立て横浜の大黒柱よ
さぁ打て飛ばせ 勝利への 扉を開け
（かっとばせー　戸柱！）",
11,東 克樹,東,左腕のテーマ,
12,阪口 皓亮,阪口,投手のテーマ,
14,石田 健大,石田,左腕のテーマ,
15,井納 翔一,井納,投手のテーマ,
16,加賀 繁,シゲル,投手のテーマ,
17,三嶋 一輝,三嶋,投手のテーマ,
19,山崎 康晃,ヤスアキ,投手のテーマ,
20,須田 幸太,スダコウタ,投手のテーマ,
21,今永 昇太,今永,左腕のテーマ,
22,熊原 健人,熊原,投手のテーマ,
23,大河,大河,右打者汎用,
24,齋藤 俊介,齋藤,投手のテーマ,
25,筒香 嘉智,筒香,"【前奏：横浜の空高く ホームランかっとばせ筒香】
さぁ打て筒香 飛ばせ空の彼方
横浜に輝く大砲 かっとばせホームラン
（GO! GO!　筒香！）",
26,濱口 遥大,濱口,左腕のテーマ,
28,福地 元春,福地,左腕のテーマ,
30,飯塚 悟史,飯塚,投手のテーマ,
31,柴田 竜拓,柴田,"狙い澄ましたミートと 巧みなグラブ捌きは
努力というかけらの 結晶の証だ
（かっとばせー　柴田！）",
32,高城 俊人,高城,"強肩強打のスゴイ奴
勝利呼び込むサイン 高城俊人
（かっとばせー　髙城！）",
33,乙坂 智,オトサカ,"Oh 横浜の誇り 胸に抱いて 道を切り開けニコ
・・・ ・・・ オトサカ トモ！×４",
34,平田 真吾,平田,投手のテーマ,
35,三上 朋也,三上,投手のテーマ,
36,狩野 行寿,カリノ,右打者汎用,
37,楠本 泰史,クスモト,左打者汎用,
38,山下 幸輝,山下,左打者汎用,
39,嶺井 博希,嶺井,"積み上げたものを今 プレーで示せ（イーヤッサッサ）
横浜の守り神 嶺井博希
（かっとばせー　嶺井！）",
40,飛雄馬,ヒュウマ,右打者汎用,
41,櫻井 周斗,櫻井,左腕のテーマ,
42,E.バリオス,バリオス,外国人投手のテーマ,
43,進藤 拓也,進藤,投手のテーマ,
44,佐野 恵太,ケイタ,左打者汎用,
45,綾部 翔,綾部,投手のテーマ,
46,田中 健二朗,ケンジロウ,左腕のテーマ,
47,砂田 毅樹,砂田,左腕のテーマ,
48,京山 将弥,京山,投手のテーマ,
50,山本 祐大,ユウダイ,捕手のテーマ,
51,宮﨑 敏郎,宮﨑,"さぁ振り抜け宮﨑 気迫あふれるパワーで
夢描け鮮やかに 空高く
（かっとばせー　宮﨑！）",
52,細川 成也,細川,右打者汎用,
53,パットン,パットン,外国人投手のテーマ,
54,寺田 光輝,寺田,投手のテーマ,
55,G後藤 武敏,ゴメス,"「（せーの！）ゴメス～！」×３
鍛えた剛腕 獲物を捕らえろ
狙いを定め ゴメス! 打てよ 飛ばせ 彼方へ
（GO! GO! ゴメス）",
56,ウィーランド,ウィーランド,外国人投手のテーマ,
57,青柳 昴樹,青柳,右打者汎用,
58,武藤 祐太,武藤,投手のテーマ,
59,平良 拳太郎,平良,投手のテーマ,
60,白根 尚貴,白根,右打者汎用,
61,中川 大志,タイシ,右打者汎用,
62,エスコバー,エスコバー,外国人投手のテーマ,
63,関根 大気,関根,左打者汎用,
64,百瀬 大騎,百瀬,左打者汎用,
65,国吉 佑樹,国吉,投手のテーマ,
66,西森 将司,西森,捕手のテーマ,
67,田中 浩康,ヒロヤス,"強気でどんな球も しぶとく打ち返せ
さぁ行こう横浜で 輝けよ浩康
（かっとばせー　浩康！）",
68,藤岡 好明,藤岡,投手のテーマ,
94,笠井 崇正,笠井,投手のテーマ,
97,野川 拓斗,野川,左腕のテーマ,
99,ソト,ソト,"Going on ソト! Touch'em all ソト!
君は嵐のカリビアン 見せつけてやれ パワフルスイング
（ソト！ソト！ソト レッツゴー！）",
00,宮本 秀明,宮本,左打者汎用,